country,2009/01,2010/01,2011/01,2012/01,2013/01,2014/01,2015/01,2016/01,2017/01,2018/01,2019/01,2020/01
Belgium,49.2,49.8,51,52.2,53,52.5,51.3,50.8,51.3,51.4,49.9,50.1
Bulgaria,34.8,32.5,32,33.5,37,37.8,38.5,35.1,36.4,38.7,37.6,37.8
Denmark,53.7,54,54.4,54.5,54.6,56.4,53.2,52.4,52.3,51.3,53.6,53.3
Germany,45,43.8,44.4,44.9,45,44.9,45.1,45.5,45.5,46.2,46.5,46.5
Estonia,43.7,40.5,38.5,39,38.6,38.5,39.6,39,38.8,38.9,39.6,40.3
Ireland,33,32.8,33.6,34,34.2,33.9,27,27.3,25.9,25.5,24.7,22.4
Greece,38.9,41.7,44.7,47.6,49.4,47.1,48.2,50.2,49.1,49.5,49,49.7
Spain,35,36.5,36.4,37.9,38.8,39.2,38.7,38.1,38.2,39.2,39.2,41.5
France,50,50,51.1,52.1,53.1,53.3,53.2,53,53.5,53.4,52.3,52.6
Croatia,42.8,42.1,41.1,42.9,42.8,43.2,44.8,45.9,45.5,45.7,46.3,47.2
Italy,46,45.7,45.6,47.6,48.1,47.9,47.8,46.7,46.3,46.2,47,47.5
Cyprus,36.7,37.1,36.5,36.4,37.4,40.6,39.7,37.7,38.5,39.2,39.7,39.4
Latvia,35.5,37.2,38,37.4,37.3,37.3,37.2,37.5,37.9,38.5,37.6,38.6
Lithuania,35.8,35.5,33.6,33,32.9,34.1,34.9,34.5,33.6,34.5,35.2,35.7
Luxembourg,42.5,41.7,42.2,42.3,42.1,41.9,41.7,41.9,42.6,45.1,45.1,43.6
Hungary,45.8,44.4,43.8,46.8,47.4,47.3,48.4,45,44.3,44,43.6,43.6
Malta,38,37.9,38.9,38.8,38.6,38.7,37.7,37.3,37.5,37.5,36.4,36.2
Netherlands,42.5,42.6,42.4,42.8,43.6,43.6,42.6,43.6,43.7,43.7,43.7,43.9
Austria,48.8,48.4,48.3,49,49.7,49.7,50.1,48.5,48.5,48.9,49.2,48.7
Poland,37.8,38.4,39.1,39.4,38.8,39,39.1,38.7,39.8,41.3,41,41.5
Portugal,40.4,40.5,42.4,42.7,44.8,44.4,43.8,42.9,42.4,42.9,42.6,43.5
Romania,30.3,33.1,34.1,33.8,33.3,34.1,35.5,32,30.8,32,31.9,32.8
Slovenia,43.5,44.6,44.2,45.4,45.7,45.3,45.9,44.2,44,44.2,43.8,43.6
Slovakia,36.3,34.8,37.2,36.9,39.7,40.3,43,40.1,38.6,38.8,39.3,40.1
Finland,51.6,51.4,52.6,53.3,54.3,54.3,54.1,53.9,53,52.5,52.3,51.9
Sweden,51.5,50.3,49.4,49.9,50.2,49.2,49.3,50.7,50.6,50.7,49.7,49.7
Iceland,45,42.1,44,45.1,44.7,46.1,43.1,59,45.4,44.7,41.8,41.9
Norway,56.7,56.3,57.5,57.1,55.1,54.9,55.3,55.6,55.5,56.7,58.1,55.1
Switzerland,33,32.5,32.8,32.7,32.9,32.7,33.8,33.5,34.4,33.8,34.1,35
