country,time,value
Belgium,2009/01,49.2
Belgium,2010/01,49.8
Belgium,2011/01,51
Belgium,2012/01,52.2
Belgium,2013/01,53
Belgium,2014/01,52.5
Belgium,2015/01,51.3
Belgium,2016/01,50.8
Belgium,2017/01,51.3
Belgium,2018/01,51.4
Belgium,2019/01,49.9
Belgium,2020/01,50.1
Bulgaria,2009/01,34.8
Bulgaria,2010/01,32.5
Bulgaria,2011/01,32
Bulgaria,2012/01,33.5
Bulgaria,2013/01,37
Bulgaria,2014/01,37.8
Bulgaria,2015/01,38.5
Bulgaria,2016/01,35.1
Bulgaria,2017/01,36.4
Bulgaria,2018/01,38.7
Bulgaria,2019/01,37.6
Bulgaria,2020/01,37.8
Denmark,2009/01,53.7
Denmark,2010/01,54
Denmark,2011/01,54.4
Denmark,2012/01,54.5
Denmark,2013/01,54.6
Denmark,2014/01,56.4
Denmark,2015/01,53.2
Denmark,2016/01,52.4
Denmark,2017/01,52.3
Denmark,2018/01,51.3
Denmark,2019/01,53.6
Denmark,2020/01,53.3
Germany,2009/01,45
Germany,2010/01,43.8
Germany,2011/01,44.4
Germany,2012/01,44.9
Germany,2013/01,45
Germany,2014/01,44.9
Germany,2015/01,45.1
Germany,2016/01,45.5
Germany,2017/01,45.5
Germany,2018/01,46.2
Germany,2019/01,46.5
Germany,2020/01,46.5
Estonia,2009/01,43.7
Estonia,2010/01,40.5
Estonia,2011/01,38.5
Estonia,2012/01,39
Estonia,2013/01,38.6
Estonia,2014/01,38.5
Estonia,2015/01,39.6
Estonia,2016/01,39
Estonia,2017/01,38.8
Estonia,2018/01,38.9
Estonia,2019/01,39.6
Estonia,2020/01,40.3
Ireland,2009/01,33
Ireland,2010/01,32.8
Ireland,2011/01,33.6
Ireland,2012/01,34
Ireland,2013/01,34.2
Ireland,2014/01,33.9
Ireland,2015/01,27
Ireland,2016/01,27.3
Ireland,2017/01,25.9
Ireland,2018/01,25.5
Ireland,2019/01,24.7
Ireland,2020/01,22.4
Greece,2009/01,38.9
Greece,2010/01,41.7
Greece,2011/01,44.7
Greece,2012/01,47.6
Greece,2013/01,49.4
Greece,2014/01,47.1
Greece,2015/01,48.2
Greece,2016/01,50.2
Greece,2017/01,49.1
Greece,2018/01,49.5
Greece,2019/01,49
Greece,2020/01,49.7
Spain,2009/01,35
Spain,2010/01,36.5
Spain,2011/01,36.4
Spain,2012/01,37.9
Spain,2013/01,38.8
Spain,2014/01,39.2
Spain,2015/01,38.7
Spain,2016/01,38.1
Spain,2017/01,38.2
Spain,2018/01,39.2
Spain,2019/01,39.2
Spain,2020/01,41.5
France,2009/01,50
France,2010/01,50
France,2011/01,51.1
France,2012/01,52.1
France,2013/01,53.1
France,2014/01,53.3
France,2015/01,53.2
France,2016/01,53
France,2017/01,53.5
France,2018/01,53.4
France,2019/01,52.3
France,2020/01,52.6
Croatia,2009/01,42.8
Croatia,2010/01,42.1
Croatia,2011/01,41.1
Croatia,2012/01,42.9
Croatia,2013/01,42.8
Croatia,2014/01,43.2
Croatia,2015/01,44.8
Croatia,2016/01,45.9
Croatia,2017/01,45.5
Croatia,2018/01,45.7
Croatia,2019/01,46.3
Croatia,2020/01,47.2
Italy,2009/01,46
Italy,2010/01,45.7
Italy,2011/01,45.6
Italy,2012/01,47.6
Italy,2013/01,48.1
Italy,2014/01,47.9
Italy,2015/01,47.8
Italy,2016/01,46.7
Italy,2017/01,46.3
Italy,2018/01,46.2
Italy,2019/01,47
Italy,2020/01,47.5
Cyprus,2009/01,36.7
Cyprus,2010/01,37.1
Cyprus,2011/01,36.5
Cyprus,2012/01,36.4
Cyprus,2013/01,37.4
Cyprus,2014/01,40.6
Cyprus,2015/01,39.7
Cyprus,2016/01,37.7
Cyprus,2017/01,38.5
Cyprus,2018/01,39.2
Cyprus,2019/01,39.7
Cyprus,2020/01,39.4
Latvia,2009/01,35.5
Latvia,2010/01,37.2
Latvia,2011/01,38
Latvia,2012/01,37.4
Latvia,2013/01,37.3
Latvia,2014/01,37.3
Latvia,2015/01,37.2
Latvia,2016/01,37.5
Latvia,2017/01,37.9
Latvia,2018/01,38.5
Latvia,2019/01,37.6
Latvia,2020/01,38.6
Lithuania,2009/01,35.8
Lithuania,2010/01,35.5
Lithuania,2011/01,33.6
Lithuania,2012/01,33
Lithuania,2013/01,32.9
Lithuania,2014/01,34.1
Lithuania,2015/01,34.9
Lithuania,2016/01,34.5
Lithuania,2017/01,33.6
Lithuania,2018/01,34.5
Lithuania,2019/01,35.2
Lithuania,2020/01,35.7
Luxembourg,2009/01,42.5
Luxembourg,2010/01,41.7
Luxembourg,2011/01,42.2
Luxembourg,2012/01,42.3
Luxembourg,2013/01,42.1
Luxembourg,2014/01,41.9
Luxembourg,2015/01,41.7
Luxembourg,2016/01,41.9
Luxembourg,2017/01,42.6
Luxembourg,2018/01,45.1
Luxembourg,2019/01,45.1
Luxembourg,2020/01,43.6
Hungary,2009/01,45.8
Hungary,2010/01,44.4
Hungary,2011/01,43.8
Hungary,2012/01,46.8
Hungary,2013/01,47.4
Hungary,2014/01,47.3
Hungary,2015/01,48.4
Hungary,2016/01,45
Hungary,2017/01,44.3
Hungary,2018/01,44
Hungary,2019/01,43.6
Hungary,2020/01,43.6
Malta,2009/01,38
Malta,2010/01,37.9
Malta,2011/01,38.9
Malta,2012/01,38.8
Malta,2013/01,38.6
Malta,2014/01,38.7
Malta,2015/01,37.7
Malta,2016/01,37.3
Malta,2017/01,37.5
Malta,2018/01,37.5
Malta,2019/01,36.4
Malta,2020/01,36.2
Netherlands,2009/01,42.5
Netherlands,2010/01,42.6
Netherlands,2011/01,42.4
Netherlands,2012/01,42.8
Netherlands,2013/01,43.6
Netherlands,2014/01,43.6
Netherlands,2015/01,42.6
Netherlands,2016/01,43.6
Netherlands,2017/01,43.7
Netherlands,2018/01,43.7
Netherlands,2019/01,43.7
Netherlands,2020/01,43.9
Austria,2009/01,48.8
Austria,2010/01,48.4
Austria,2011/01,48.3
Austria,2012/01,49
Austria,2013/01,49.7
Austria,2014/01,49.7
Austria,2015/01,50.1
Austria,2016/01,48.5
Austria,2017/01,48.5
Austria,2018/01,48.9
Austria,2019/01,49.2
Austria,2020/01,48.7
Poland,2009/01,37.8
Poland,2010/01,38.4
Poland,2011/01,39.1
Poland,2012/01,39.4
Poland,2013/01,38.8
Poland,2014/01,39
Poland,2015/01,39.1
Poland,2016/01,38.7
Poland,2017/01,39.8
Poland,2018/01,41.3
Poland,2019/01,41
Poland,2020/01,41.5
Portugal,2009/01,40.4
Portugal,2010/01,40.5
Portugal,2011/01,42.4
Portugal,2012/01,42.7
Portugal,2013/01,44.8
Portugal,2014/01,44.4
Portugal,2015/01,43.8
Portugal,2016/01,42.9
Portugal,2017/01,42.4
Portugal,2018/01,42.9
Portugal,2019/01,42.6
Portugal,2020/01,43.5
Romania,2009/01,30.3
Romania,2010/01,33.1
Romania,2011/01,34.1
Romania,2012/01,33.8
Romania,2013/01,33.3
Romania,2014/01,34.1
Romania,2015/01,35.5
Romania,2016/01,32
Romania,2017/01,30.8
Romania,2018/01,32
Romania,2019/01,31.9
Romania,2020/01,32.8
Slovenia,2009/01,43.5
Slovenia,2010/01,44.6
Slovenia,2011/01,44.2
Slovenia,2012/01,45.4
Slovenia,2013/01,45.7
Slovenia,2014/01,45.3
Slovenia,2015/01,45.9
Slovenia,2016/01,44.2
Slovenia,2017/01,44
Slovenia,2018/01,44.2
Slovenia,2019/01,43.8
Slovenia,2020/01,43.6
Slovakia,2009/01,36.3
Slovakia,2010/01,34.8
Slovakia,2011/01,37.2
Slovakia,2012/01,36.9
Slovakia,2013/01,39.7
Slovakia,2014/01,40.3
Slovakia,2015/01,43
Slovakia,2016/01,40.1
Slovakia,2017/01,38.6
Slovakia,2018/01,38.8
Slovakia,2019/01,39.3
Slovakia,2020/01,40.1
Finland,2009/01,51.6
Finland,2010/01,51.4
Finland,2011/01,52.6
Finland,2012/01,53.3
Finland,2013/01,54.3
Finland,2014/01,54.3
Finland,2015/01,54.1
Finland,2016/01,53.9
Finland,2017/01,53
Finland,2018/01,52.5
Finland,2019/01,52.3
Finland,2020/01,51.9
Sweden,2009/01,51.5
Sweden,2010/01,50.3
Sweden,2011/01,49.4
Sweden,2012/01,49.9
Sweden,2013/01,50.2
Sweden,2014/01,49.2
Sweden,2015/01,49.3
Sweden,2016/01,50.7
Sweden,2017/01,50.6
Sweden,2018/01,50.7
Sweden,2019/01,49.7
Sweden,2020/01,49.7
Iceland,2009/01,45
Iceland,2010/01,42.1
Iceland,2011/01,44
Iceland,2012/01,45.1
Iceland,2013/01,44.7
Iceland,2014/01,46.1
Iceland,2015/01,43.1
Iceland,2016/01,59
Iceland,2017/01,45.4
Iceland,2018/01,44.7
Iceland,2019/01,41.8
Iceland,2020/01,41.9
Norway,2009/01,56.7
Norway,2010/01,56.3
Norway,2011/01,57.5
Norway,2012/01,57.1
Norway,2013/01,55.1
Norway,2014/01,54.9
Norway,2015/01,55.3
Norway,2016/01,55.6
Norway,2017/01,55.5
Norway,2018/01,56.7
Norway,2019/01,58.1
Norway,2020/01,55.1
Switzerland,2009/01,33
Switzerland,2010/01,32.5
Switzerland,2011/01,32.8
Switzerland,2012/01,32.7
Switzerland,2013/01,32.9
Switzerland,2014/01,32.7
Switzerland,2015/01,33.8
Switzerland,2016/01,33.5
Switzerland,2017/01,34.4
Switzerland,2018/01,33.8
Switzerland,2019/01,34.1
Switzerland,2020/01,35
