"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2019-Q4",100,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q1",94.60877735,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q2",77.90834822,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q3",90.99574859,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q4",91.19832343,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q1",90.62191806,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q2",91.58015033,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q3",93.42298158,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q4",94.91613889,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q1",96.12090564,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q2",97.23812964,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q3",98.2966376,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q4",99.34514585,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q1",100.2604626,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q2",101.0990223,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q3",101.9257597,
"ESP","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q4",102.7572424,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2019-Q4",100,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q1",96.60142846,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q2",90.15344189,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q3",97.71180844,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q4",99.42870379,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q1",99.80694031,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q2",100.5893738,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q3",101.6479181,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q4",103.1696579,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q1",104.4043371,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q2",105.386489,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q3",106.3191796,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q4",107.1561298,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q1",107.9383517,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q2",108.8049959,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q3",109.6862589,
"WLD","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q4",110.550607,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2019-Q4",100,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q1",96.52557587,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q2",85.261359,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q3",96.0192115,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2020-Q4",95.65528372,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q1",95.40372793,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q2",97.55672158,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q3",99.56257202,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2021-Q4",100.3154481,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q1",101.1878236,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q2",102.1065385,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q3",102.9143665,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2022-Q4",103.6049321,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q1",104.2098316,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q2",104.7646837,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q3",105.2909956,
"EA17","REALGDPFORECAST","FORECAST2021_12","IDX2019_4","Q","2023-Q4",105.7989498,
