tipo,date,value
general,2020/01,1.1
general,2020/02,0.7
general,2020/03,0
general,2020/04,-0.7
general,2020/05,-0.9
general,2020/06,-0.3
general,2020/07,-0.6
general,2020/08,-0.5
general,2020/09,-0.4
general,2020/10,-0.8
general,2020/11,-0.8
general,2020/12,-0.5
general,2021/01,0.5
general,2021/02,0
general,2021/03,1.3
general,2021/04,2.2
general,2021/05,2.7
general,2021/06,2.7
general,2021/07,2.9
general,2021/08,3.3
general,2021/09,4
general,2021/10,5.4
general,2021/11,5.5
general,2021/12,6.7
subyacente,2020/01,1
subyacente,2020/02,1.2
subyacente,2020/03,1.1
subyacente,2020/04,1.1
subyacente,2020/05,1.1
subyacente,2020/06,1
subyacente,2020/07,0.6
subyacente,2020/08,0.4
subyacente,2020/09,0.4
subyacente,2020/10,0.3
subyacente,2020/11,0.2
subyacente,2020/12,0.1
subyacente,2021/01,0.6
subyacente,2021/02,0.3
subyacente,2021/03,0.3
subyacente,2021/04,0
subyacente,2021/05,0.2
subyacente,2021/06,0.2
subyacente,2021/07,0.6
subyacente,2021/08,0.7
subyacente,2021/09,1
subyacente,2021/10,1.4
subyacente,2021/11,1.7
subyacente,2021/12,2.1
